Department,Number,Name,Term,Section,Instructor,Type,Status,Capacity,Availability
LING,199,SPECIAL TOPICS,Su15,001,Staff,Independent or Special Studies,Closed,0,0
LING,208,WESTERN CULTURE STUDY ABROAD,F14,001,"Trujillo, J.",Independent or Special Studies,Closed,0,0
LING,208,WESTERN CULTURE STUDY ABROAD,F14,400,"Kellar, B.",WWW,Open,35,35
LING,208,WESTERN CULTURE STUDY ABROAD,W15,400,"Kellar, B.",WWW,Open,300,300
LING,208,WESTERN CULTURE STUDY ABROAD,Su15,400,"Kellar, B.",WWW,Open,25,25
LING,209,CULTURAL DIVERSITY STUDY ABROAD,F14,001,"Trujillo, J.",Independent or Special Studies,Closed,0,0
LING,209,CULTURAL DIVERSITY STUDY ABROAD,Su15,400,"Kellar, B.",WWW,Open,1,1
LING,251,LANGUAGES OF OREGON,W15,001,"Trujillo, J.",Lecture,Open,25,24
LING,399,SPECIAL TOPICS,W15,100,Staff,Lecture,Closed,0,0
LING,410,INTERNSHIP,F14,900,"Primak, P.",Internship,Open,20,20
LING,410,INTERNSHIP,F14,901,Staff,Internship,Open,20,20
LING,410,INTERNSHIP,F14,902,"Thies, R.",Internship,Open,20,20
LING,410,INTERNSHIP,F14,903,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,F14,904,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,F14,905,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,F14,906,"Gitelman, A.",Internship,Open,20,20
LING,410,INTERNSHIP,F14,907,Staff,Internship,Open,1,1
LING,410,INTERNSHIP,F14,908,"Primak, P.",Internship,Open,3,3
LING,410,INTERNSHIP,W15,900,Staff,Internship,Open,15,15
LING,410,INTERNSHIP,W15,901,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,W15,902,Staff,Internship,Open,15,15
LING,410,INTERNSHIP,W15,903,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,W15,904,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,W15,905,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,W15,906,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,W15,907,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,W15,908,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,Sp15,900,"Primak, P.",Internship,Open,10,10
